City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,leningradskiy,100,RU,1577296858,92,69.38,178.42,-9.6,17.6
1,rikitea,100,PF,1577296780,76,-23.12,-134.97,73.83,5.5
2,egvekinot,23,RU,1577296832,93,66.32,-179.17,-22.77,6.8
3,cape town,40,ZA,1577296688,63,-33.93,18.42,66.0,13.87
4,cockburn town,89,TC,1577296844,74,21.46,-71.14,78.1,18.9
5,punta arenas,75,CL,1577296785,50,-53.16,-70.91,55.4,36.91
6,kalety,100,PL,1577297064,95,50.56,18.89,39.0,1.01
7,butaritari,99,KI,1577297064,73,3.07,172.79,83.7,4.56
8,vaini,60,IN,1577296779,82,15.34,74.49,71.35,2.91
9,tarko-sale,76,RU,1577297064,78,64.92,77.78,-20.99,6.69
10,flin flon,90,CA,1577296826,92,54.77,-101.88,10.4,6.93
11,new norfolk,90,AU,1577297064,93,-42.78,147.06,57.0,1.12
12,albany,90,US,1577296821,47,42.65,-73.75,39.99,6.93
13,barrow,30,AR,1577297064,20,-38.31,-60.23,79.45,0.36
14,katobu,79,ID,1577297065,89,-4.94,122.53,76.6,0.83
15,mar del plata,19,AR,1577296847,27,-46.43,-67.52,70.18,34.52
16,kalmunai,6,LK,1577297050,81,7.42,81.82,80.26,15.19
17,traiguen,1,CL,1577297065,30,-38.25,-72.68,71.98,11.59
18,lodja,99,CD,1577297065,97,-3.52,23.6,68.97,1.95
19,vao,100,EE,1577296831,93,59.1,26.19,35.51,5.86
20,codrington,40,AU,1577297065,93,-28.95,153.24,71.6,4.23
21,namibe,57,AO,1577296807,87,-15.19,12.15,74.52,14.47
22,lorengau,100,PG,1577296843,75,-2.02,147.27,83.77,16.6
23,barmer,0,IN,1577297016,18,25.74,71.4,62.58,11.05
24,bontang,85,ID,1577297066,84,0.12,117.47,79.39,2.95
25,vila velha,40,BR,1577297066,55,-3.71,-38.6,89.6,19.46
26,sisimiut,0,GL,1577296840,58,66.94,-53.67,5.97,6.11
27,tasiilaq,0,GL,1577296790,57,65.61,-37.64,23.0,5.82
28,greenwood,98,CA,1577297066,57,49.09,-118.68,32.0,1.48
29,attert,75,LU,1577297066,86,49.75,5.79,44.01,6.93
30,bambous virieux,75,MU,1577296780,83,-20.34,57.76,80.6,17.22
31,karoi,72,ZW,1577297067,59,-16.82,29.68,75.29,7.81
32,madang,0,CN,1577297067,68,35.32,102.79,9.82,2.24
33,moerai,0,PF,1577297067,73,-22.43,-151.33,72.86,19.82
34,pacific grove,20,US,1577297067,71,36.62,-121.92,51.8,11.41
35,kargasok,18,RU,1577297067,96,59.06,80.87,-19.35,9.69
36,ixtapa,75,MX,1577296854,61,20.71,-105.21,80.01,4.97
37,puerto ayora,75,EC,1577296797,54,-0.74,-90.35,84.2,12.75
38,ingraj bazar,4,IN,1577297068,49,25.0,88.15,59.95,5.06
39,saint-philippe,1,CA,1577296806,68,45.36,-73.48,28.99,10.29
40,atuona,9,PF,1577296788,78,-9.8,-139.03,80.17,22.26
41,port alfred,30,ZA,1577296806,85,-33.59,26.89,70.0,5.93
42,poronaysk,0,RU,1577296860,73,49.22,143.1,-0.63,5.73
43,ushuaia,75,AR,1577296801,50,-54.81,-68.31,57.2,17.22
44,katsuura,90,JP,1577296865,93,33.93,134.5,48.2,4.7
45,busselton,99,AU,1577296780,42,-33.64,115.35,71.01,10.8
46,mataura,92,NZ,1577296792,94,-46.19,168.86,46.0,1.07
47,laguna,40,BZ,1577296831,73,16.17,-88.94,77.0,4.7
48,clyde river,40,CA,1577296824,83,70.47,-68.59,-7.6,3.36
49,tomatlan,76,MX,1577296810,35,19.93,-105.25,89.15,3.09
50,boddam,90,GB,1577297069,86,57.47,-1.78,43.0,2.24
51,ponta do sol,37,BR,1577296787,65,-20.63,-46.0,79.5,3.51
52,vieux-habitants,20,GP,1577297069,62,16.06,-61.77,86.0,14.99
53,nikolskoye,90,RU,1577296792,100,59.7,30.79,37.99,6.71
54,qaanaaq,96,GL,1577296784,92,77.48,-69.36,-0.53,4.27
55,cherskiy,95,RU,1577296787,96,68.75,161.3,-30.64,5.32
56,georgetown,75,GY,1577296629,74,6.8,-58.16,86.0,9.17
57,saskylakh,8,RU,1577296790,96,71.97,114.09,-38.45,9.57
58,fort nelson,20,CA,1577296812,83,58.81,-122.69,-7.6,0.69
59,esperance,100,AU,1577297070,83,-33.86,121.89,71.6,12.75
